Architecture,Scan type,Accuarcy,Sensitivity,Specificity,Precision,F1 Score,Jaccard Similariy,Dice Coefficient,RR_DC,inverse_ratio
R2AttU_Net,PP,0.71,0.43,0.7,0.38,0.2851,0.2144,0.2952,0.5059,NA
R2AttU_Net,LS,0.8,0.54,0.64,0.4222,0.3979,0.3391,0.4079,0.54,NA
AttU_Net,PP,0.76,0.42,0.7677,0.4099,0.3638,0.2955,0.3832,0.568,NA
AttU_Net,LS,0.77,0.34,0.782,0.3392,0.3049,0.2494,0.3308,0.5427,NA
U_Net,PP,0.76,0.32,0.7677,0.3625,0.2916,0.2294,0.3152,0.5305,NA
U_Net,LS,0.75,0.36,0.7635,0.3372,0.2945,0.2356,0.3158,0.5321,NA
R2U_Net,PP,0.74,0.41,0.7355,0.4217,0.3057,0.2273,0.3178,0.5282,NA
R2U_Net,LS,0.73,0.67,0.5486,0.3454,0.3584,0.3002,0.3673,0.4847,NA
AttU_Net,PP,0.81,0.43,0.8292,0.4851,0.4422,0.3783,0.4365,0.4413,0.1
AttU_Net,LS,0.85,0.46,0.8304,0.4872,0.4523,0.3807,0.452,0.4764,0.1
AttU_Net,PP,0.77,0.39,0.7803,0.4346,0.3519,0.2753,0.3714,0.4371,0.25
AttU_Net,LS,0.76,0.35,0.7679,0.3407,0.296,0.2352,0.3162,0.391,0.25
AttU_Net,PP,0.76,0.47,0.7664,0.4071,0.3686,0.2945,0.385,0.5034,0.5
AttU_Net,LS,0.76,0.27,0.7858,0.348,0.267,0.2092,0.2928,0.4371,0.5
AttU_Net,PP,0.77,0.38,0.7816,0.4836,0.3587,0.2752,0.3767,0.538,0.75
AttU_Net,LS,0.75,0.37,0.7625,0.3499,0.3019,0.2349,0.3213,0.5013,0.75
